tmdb_id,original_language,popularity,release_date,title,vote_average,vote_count,production_budget,domestic_gross,worldwide_gross,primary_genre,roi_domestic,roi_worldwide,release_month,franchise,collection
40264,en,8.992,2010-08-18,Vampires Suck,4.1,658,20000000.0,36661504.0,81424988.0,Comedy,1.8330752,4.0712494,8,True,Vampires Suck Collection
46738,fr,8.973,2010-09-04,Incendies,8.1,1034,6800000.0,6857096.0,16038343.0,Drama,1.0083964705882353,2.3585798529411766,9,False,
22907,en,8.969,2010-08-26,Takers,6.2,605,32000000.0,57744720.0,70587268.0,Action,1.8045225,2.205852125,8,False,
42684,en,8.847,2010-11-12,Skyline,4.8,833,10000000.0,21416355.0,68264973.0,Action,2.1416355,6.8264973,11,True,Skyline Collection
23742,en,8.82,2010-02-26,Cop Out,5.4,796,37000000.0,44875481.0,55909910.0,Action,1.2128508378378378,1.5110786486486487,2,False,
28211,en,8.807,2010-03-26,Chloe,5.9,940,13000000.0,3075255.0,11831131.0,Drama,0.23655807692307693,0.910087,3,False,
52015,en,8.799,2010-10-01,Stake Land,6.2,415,4000000.0,33245.0,679482.0,Drama,0.00831125,0.1698705,10,True,Stake Land Collection
42297,en,8.676,2010-11-23,Burlesque,7.1,1195,55000000.0,39440655.0,90552675.0,Drama,0.7171028181818182,1.6464122727272728,11,False,
27004,en,8.503,2010-01-01,Ca$h,5.8,112,13700000.0,0.0,11738256.0,Crime,0.0,0.8568070072992701,1,False,
38579,en,8.487,2010-06-04,Marmaduke,5.1,367,50000000.0,33644788.0,89895930.0,Comedy,0.67289576,1.7979186,6,False,
32823,en,8.485,2010-06-04,Get Him to the Greek,5.9,980,40000000.0,61153526.0,91455875.0,Adventure,1.52883815,2.286396875,6,False,
59457,en,8.483,2010-07-15,Womb,6.1,159,13000000.0,0.0,0.0,Drama,0.0,0.0,7,False,
39781,en,8.426,2010-07-09,The Kids Are All Right,6.6,854,4000000.0,20811365.0,36275469.0,Comedy,5.20284125,9.06886725,7,False,
46261,en,8.405,2010-11-06,Don't Be Afraid of the Dark,5.5,550,25000000.0,24046682.0,39126427.0,Fantasy,0.96186728,1.56505708,11,False,
41201,fr,8.404,2010-12-25,The Illusionist,7.4,280,16500000.0,39868642.0,83792062.0,Animation,2.4162813333333335,5.0783067878787875,12,False,
44113,en,8.401,2010-10-22,Stone,5.2,334,22000000.0,1810078.0,4065020.0,Drama,0.08227627272727273,0.18477363636363636,10,False,
31007,en,8.348,2010-10-29,Welcome to the Rileys,6.5,241,10000000.0,152857.0,355919.0,Drama,0.0152857,0.0355919,10,False,
45649,en,8.319,2010-09-01,Rubber,5.9,417,500000.0,100370.0,680914.0,Comedy,0.20074,1.361828,9,False,
38073,en,8.281,2010-09-03,Going the Distance,6.0,394,32000000.0,17804299.0,43603990.0,Comedy,0.55638434375,1.3626246875,9,False,
46528,en,8.259,2010-12-03,The Warrior's Way,6.1,203,42000000.0,5666340.0,8514325.0,Action,0.13491285714285714,0.2027220238095238,12,False,
44718,en,8.215,2010-01-22,Get Low,6.7,135,7000000.0,9176933.0,10828305.0,Drama,1.3109904285714287,1.5469007142857143,1,False,
27586,en,8.19,2010-03-19,The Runaways,6.4,448,9500000.0,3573673.0,5278632.0,Biography,0.37617610526315787,0.5556454736842106,3,False,
41436,en,8.163,2010-10-21,Paranormal Activity 2,5.7,1342,3000000.0,84752907.0,177512032.0,Horror,28.250969,59.17067733333333,10,True,Paranormal Activity Collection
44603,en,7.886,2010-10-22,Hereafter,5.9,848,50000000.0,32746941.0,108660270.0,Drama,0.65493882,2.1732054,10,False,
46503,en,7.871,2010-12-03,All Good Things,6.0,493,20000000.0,582024.0,873617.0,Crime,0.0291012,0.04368085,12,False,
34769,en,7.863,2010-02-26,Defendor,6.4,295,3750000.0,44462.0,44462.0,Drama,0.011856533333333334,0.011856533333333334,2,False,
11439,en,7.829,2010-02-12,The Ghost Writer,6.8,1135,45000000.0,15541549.0,65532491.0,Drama,0.34536775555555554,1.4562775777777779,2,False,
8999,en,7.814,2005-11-11,Derailed,6.2,500,22000000.0,36020063.0,57520063.0,Action,1.6372755909090908,2.6145483181818183,11,False,
34016,en,7.775,2010-03-12,She's Out of My League,6.1,970,20000000.0,32010860.0,48680977.0,Comedy,1.600543,2.43404885,3,False,
26466,en,7.761,2010-02-02,Triangle,6.8,1094,12000000.0,0.0,1594955.0,Family,0.0,0.13291291666666666,2,False,
41210,en,7.745,2010-08-20,The Switch,6.1,1008,19000000.0,27758465.0,49858465.0,Comedy,1.460971842105263,2.624129736842105,8,False,
39053,en,7.735,2010-06-18,Cyrus,6.0,201,7000000.0,7468936.0,10062896.0,Crime,1.0669908571428572,1.4375565714285714,6,False,
41382,en,7.699,2010-08-20,Lottery Ticket,5.7,92,17000000.0,24719879.0,24719879.0,Comedy,1.4541105294117647,1.4541105294117647,8,False,
45958,es,7.697,2010-12-28,Biutiful,7.2,546,35000000.0,5101237.0,24687524.0,Drama,0.14574962857142856,0.7053578285714286,12,False,
37931,en,7.666,2010-05-21,MacGruber,5.3,270,10000000.0,8525600.0,8629895.0,Action,0.85256,0.8629895,5,False,
44092,zh,7.621,2010-09-01,Reign of Assassins,6.8,87,14000000.0,0.0,11354230.0,Action,0.0,0.8110164285714285,9,False,
39210,en,7.596,2010-12-22,Somewhere,6.1,376,7000000.0,1785645.0,17023121.0,Comedy,0.2550921428571429,2.4318744285714287,12,False,
45272,en,7.567,2010-12-22,Country Strong,6.3,126,15000000.0,20218921.0,20601987.0,Drama,1.3479280666666666,1.3734658,12,False,
49852,en,7.566,2010-11-24,The Nutcracker in 3D,5.5,97,90000000.0,195459.0,20466016.0,Action,0.0021717666666666666,0.22740017777777777,11,False,
36970,en,7.532,2010-04-21,Oceans,7.2,167,80000000.0,19422319.0,86787530.0,Documentary,0.2427789875,1.084844125,4,False,
45094,en,7.51,2010-10-15,Conviction,7.2,297,12500000.0,6797696.0,11826980.0,Biography,0.54381568,0.9461584,10,False,
38843,en,7.442,2010-07-23,Ramona and Beezus,6.3,460,15000000.0,26167002.0,27469621.0,Adventure,1.7444668,1.8313080666666666,7,False,
46829,en,7.357,2011-01-14,Barney's Version,7.2,210,30000000.0,7502560.0,8845575.0,Comedy,0.2500853333333333,0.2948525,1,False,
57120,en,7.309,2010-10-08,Meek's Cutoff,6.5,113,2000000.0,977772.0,1869928.0,Drama,0.488886,0.934964,10,False,
46138,en,7.275,2010-11-19,Made in Dagenham,6.6,150,8000000.0,1095369.0,15644196.0,Biography,0.136921125,1.9555245,11,False,
44835,en,7.14,2010-01-22,Hesher,7.0,335,7000000.0,382946.0,382946.0,Comedy,0.05470657142857143,0.05470657142857143,1,False,
33511,en,7.099,2010-01-27,Nowhere Boy,7.3,469,1900000.0,1445366.0,7785229.0,Drama,0.760718947368421,4.097488947368421,1,False,
37414,en,7.087,2010-04-27,The Killer Inside Me,5.9,304,13000000.0,217277.0,3617277.0,Crime,0.016713615384615386,0.2782520769230769,4,False,
38093,en,7.047,2010-05-14,Just Wright,6.2,211,12000000.0,21540363.0,21867665.0,Comedy,1.79503025,1.8223054166666666,5,False,
34803,en,6.862,2010-04-15,Death at a Funeral,5.7,439,21000000.0,42739347.0,48977233.0,Comedy,2.035207,2.3322491904761904,4,False,
38407,en,6.824,2010-10-02,Shanghai,6.1,80,50000000.0,46425.0,15505922.0,Crime,0.0009285,0.31011844,10,False,
47607,en,6.695,2010-11-12,Tiny Furniture,5.9,82,50000.0,391674.0,424149.0,Comedy,7.83348,8.48298,11,False,
35688,en,6.636,2010-04-02,Why Did I Get Married Too?,5.9,49,20000000.0,60095852.0,60831067.0,Comedy,3.0047926,3.04155335,4,True,Why Did I Get Married Collection
38778,en,6.632,2010-07-30,Dinner for Schmucks,5.6,920,69000000.0,73026337.0,86796502.0,Comedy,1.0583527101449275,1.2579203188405796,7,False,
43434,en,6.568,2010-10-11,Carlos,7.0,87,18000000.0,145526.0,1619153.0,Crime,0.008084777777777778,0.08995294444444445,10,False,
38033,en,6.44,2010-10-01,Chain Letter,4.1,63,3000000.0,205842.0,1022453.0,Horror,0.068614,0.3408176666666667,10,False,
41479,en,6.424,2010-04-16,The Joneses,6.2,312,10000000.0,1475746.0,3541565.0,Comedy,0.1475746,0.3541565,4,False,
27569,en,6.3,2010-01-21,Extraordinary Measures,6.3,153,31000000.0,12482741.0,15826984.0,Drama,0.40266906451612905,0.5105478709677419,1,False,
44638,en,6.3,2010-12-10,The Tempest,5.8,52,20000000.0,277943.0,277943.0,Comedy,0.01389715,0.01389715,12,False,
38031,en,6.209,2010-05-23,You Will Meet a Tall Dark Stranger,5.8,431,15000000.0,3247816.0,34247816.0,Comedy,0.21652106666666668,2.2831877333333335,5,False,
39845,en,6.185,2010-06-30,Love Ranch,6.1,28,25000000.0,137885.0,146149.0,Biography,0.0055154,0.00584596,6,False,
66195,en,6.088,2010-07-01,The Perfect Host,6.3,217,1000000.0,48764.0,51587.0,Comedy,0.048764,0.051587,7,False,
37737,hi,6.058,2010-05-21,Kites,5.8,67,9200000.0,1685269.0,17155193.0,Action,0.18318141304347826,1.8646948913043477,5,False,
12834,en,5.996,2010-09-17,Leaves of Grass,6.0,214,9000000.0,70066.0,85527.0,Comedy,0.007785111111111111,0.009503,9,False,
40247,en,5.945,2010-01-22,Please Give,6.3,81,3000000.0,4033574.0,4570178.0,Comedy,1.3445246666666666,1.5233926666666666,1,False,
27584,en,5.762,2010-06-03,High School,5.8,68,10000000.0,139034.0,248133.0,Comedy,0.0139034,0.0248133,6,False,
43942,en,5.705,2010-10-01,Freakonomics,6.6,57,2900000.0,101270.0,172867.0,Documentary,0.034920689655172414,0.05960931034482759,10,False,
